id,标题,赞,作者,评论数
78661632,Python之路点燃编程圈：源于不爽C语言，单枪匹马搞副业，如今吞噬世界,36,量子位,3
id,标题,赞,作者,评论数
79783329,在日韩贸易战中浮出水面的半导体隐形大佬,32,机器之心,0
id,标题,赞,作者,评论数
79919947,我在B站看13部美食纪录片，顺便学了五国语言……,17,一周进步,2
id,标签,赞,感谢,反对,问题,提问者,回答数,关注数
801053331,创业,38,15,1,如果想以后创业，中学阶段可以做些什么准备？,您右边工位的工友,56,246
id,标签,赞,感谢,反对,问题,提问者,回答数,关注数
786883788,JavaScript,3,4,0,你是如何学会正则表达式的？,Super-Su,257,6923
id,标题,赞,作者,评论数
78791163,知乎汽车 | 买不明白的车,450,知乎汽车,27
